scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
with_repeater,1342.0,600.0,300.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,1,1,0,4,193.979766,473.969766,0.250942,0.263605,0.021050,0.022661,35,7,7,9,5,1,1,3,35668,8,8,23778,0.640738,0.020552,1.283238,0.542150
blackout_only,1342.0,600.0,300.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251313,0.264763,0.021048,0.022579,35,7,7,6,0,0,0,0,35645,7,7,23772,0.507343,0.021001,1.281897,0.342352
with_repeater,1342.0,600.0,300.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,1,1,0,4,190.016812,470.006812,0.251029,0.263563,0.021098,0.022673,35,7,7,9,5,1,1,3,35660,8,8,23778,0.640162,0.022248,1.281012,0.541931
blackout_only,1342.0,600.0,900.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251047,0.263385,0.021059,0.022636,35,7,7,0,0,0,0,0,35645,7,7,23769,0.393878,0.022316,1.280254,0.003665
with_repeater,1342.0,600.0,900.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,2,2,0,3,194.856771,477.423385,0.250908,0.263581,0.021044,0.022706,35,7,7,9,10,2,2,3,35685,9,9,23781,0.568451,0.020031,1.281869,0.125673
blackout_only,1342.0,600.0,900.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251015,0.264013,0.021065,0.022680,35,7,7,0,0,0,0,0,35645,7,7,23769,0.393691,0.021052,1.276652,0.003665
with_repeater,1342.0,600.0,900.0,4000.0,120.0,500.0,1,41,1778,1778,1980,1980,0,1,2,2,0,3,207.749860,483.869930,0.250630,0.263671,0.021047,0.022623,35,7,7,9,10,2,2,3,35695,9,9,23781,0.567344,0.018918,1.279292,0.125083
blackout_only,1342.0,600.0,900.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,0,2,0,3,,,0.250997,0.263832,0.021107,0.022628,35,7,7,0,0,0,0,0,35645,7,7,23769,0.394266,0.020379,1.279145,0.003670
with_repeater,1342.0,600.0,900.0,4000.0,120.0,500.0,1,42,1778,1778,1980,1980,0,1,2,2,0,3,167.019380,463.504690,0.250769,0.263443,0.021064,0.022727,35,7,7,9,10,2,2,3,35695,9,9,23781,0.567176,0.021150,1.280928,0.123317
blackout_only,1342.0,600.0,900.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251079,0.263663,0.021051,0.022643,35,7,7,0,0,0,0,0,35645,7,7,23769,0.394603,0.018599,1.279863,0.003667
with_repeater,1342.0,600.0,900.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,2,2,0,3,190.059911,475.024956,0.250934,0.263460,0.021068,0.022747,35,7,7,9,10,2,2,3,35685,9,9,23781,0.567163,0.020946,1.282105,0.124315
blackout_only,1342.0,600.0,900.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251387,0.264324,0.021052,0.022632,35,7,7,0,0,0,0,0,35645,7,7,23769,0.394725,0.019563,1.281647,0.003666
with_repeater,1342.0,600.0,900.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,2,2,0,3,183.994153,471.992077,0.251067,0.263691,0.021079,0.022672,35,7,7,9,10,2,2,3,35675,9,9,23781,0.567853,0.020730,1.283293,0.125858
blackout_only,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,0,3,0,2,,,0.250864,0.263763,0.021047,0.022653,35,7,7,0,0,0,0,0,35663,7,7,23766,0.281154,0.020778,1.277162,0.003665
with_repeater,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,3,3,0,2,,475.171399,0.250856,0.263581,0.021034,0.022671,35,7,7,12,15,3,3,9,35709,10,10,23784,0.402503,0.019429,1.279810,0.356287
blackout_only,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,0,3,0,2,,,0.251167,0.263623,0.021069,0.022695,35,7,7,0,0,0,0,0,35645,7,7,23766,0.281182,0.020541,1.276142,0.003666
with_repeater,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,41,1778,1778,1980,1980,0,1,3,3,0,2,,481.266990,0.250626,0.263773,0.021046,0.022607,35,7,7,12,15,3,3,9,35710,10,10,23784,0.401989,0.020431,1.279278,0.355661
blackout_only,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,0,3,0,2,,,0.250861,0.263559,0.021108,0.022667,35,7,7,0,0,0,0,0,35664,7,7,23766,0.281535,0.020965,1.282892,0.003672
with_repeater,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,3,4,0,1,,468.068850,0.250843,0.263440,0.021058,0.022654,35,7,7,15,15,3,3,9,35710,10,10,23784,0.309046,0.020372,1.279618,0.522390
blackout_only,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,0,3,0,2,,,0.250890,0.263524,0.021044,0.022632,35,7,7,0,0,0,0,0,35661,7,7,23766,0.281566,0.020288,1.278432,0.003666
with_repeater,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,3,4,0,1,,471.890357,0.251255,0.263777,0.021057,0.022723,35,7,7,15,15,3,3,9,35690,10,10,23784,0.308674,0.020157,1.281638,0.522260
blackout_only,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,0,3,0,2,,,0.251401,0.263514,0.021072,0.022629,35,7,7,0,0,0,0,0,35645,7,7,23766,0.281322,0.020304,1.280040,0.003667
with_repeater,1342.0,600.0,1800.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,3,3,0,2,,475.733294,0.251412,0.264601,0.021061,0.022668,35,7,7,12,15,3,3,9,35690,10,10,23784,0.403033,0.020671,1.280628,0.356051
