scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
blackout_only,186.0,120.0,900.0,57,5,5,8,8,21,21,1.000000,1.000000,62.506279,0.183794
with_repeater,186.0,120.0,900.0,57,5,5,8,8,21,21,1.000000,1.000000,62.530789,0.181202
blackout_only,186.0,120.0,900.0,58,5,5,8,8,21,21,1.000000,1.000000,62.521057,0.180667
with_repeater,186.0,120.0,900.0,58,5,5,8,8,21,21,1.000000,1.000000,62.550799,0.184838
blackout_only,186.0,120.0,900.0,59,5,5,8,8,21,21,1.000000,1.000000,62.542909,0.181821
with_repeater,186.0,120.0,900.0,59,5,5,8,8,21,21,1.000000,1.000000,62.520165,0.181469
blackout_only,186.0,120.0,900.0,60,5,5,8,8,21,21,1.000000,1.000000,62.636790,0.185168
with_repeater,186.0,120.0,900.0,60,5,5,8,8,21,21,1.000000,1.000000,62.562692,0.180383
blackout_only,186.0,120.0,900.0,61,5,5,8,8,21,21,1.000000,1.000000,62.609073,0.183784
with_repeater,186.0,120.0,900.0,61,5,5,8,8,21,21,1.000000,1.000000,62.598608,0.185326
blackout_only,186.0,120.0,900.0,62,5,5,8,8,21,21,1.000000,1.000000,62.579435,0.183177
with_repeater,186.0,120.0,900.0,62,5,5,8,8,21,21,1.000000,1.000000,62.531967,0.182098
blackout_only,186.0,120.0,900.0,63,5,5,8,8,21,21,1.000000,1.000000,62.570620,0.181843
with_repeater,186.0,120.0,900.0,63,5,5,8,8,21,21,1.000000,1.000000,62.586355,0.183962
blackout_only,186.0,120.0,900.0,64,5,5,8,8,21,21,1.000000,1.000000,62.590104,0.184227
with_repeater,186.0,120.0,900.0,64,5,5,8,8,21,21,1.000000,1.000000,62.569900,0.183050
blackout_only,186.0,120.0,900.0,65,5,5,8,8,21,21,1.000000,1.000000,62.579831,0.182516
with_repeater,186.0,120.0,900.0,65,5,5,8,8,21,21,1.000000,1.000000,62.585063,0.183717
blackout_only,186.0,120.0,900.0,66,5,5,8,8,21,21,1.000000,1.000000,62.567391,0.183013
